id,title,year,category,priority,arxiv_id,source_url,local_pdf,local_note,why,my_status
capek05,Capek 0.5: An Execution-Centric Vision-Language Model for Embodied Intelligence,2026,execution-centric VLM,medium,2608.06756,https://arxiv.org/abs/2608.06756,/Users/luogu/physical_intelligence/papers/architecture/Capek05_2608.06756.pdf,/Users/luogu/physical_intelligence/notes/architecture/capek05.md,Organizes perception/reasoning/verification around iterative robot execution rather than isolated task objectives.,done
humanvid-selfimprove,Robot Self-Improvement via Human-Video Dynamics Models,2026,self-improvement priors,high,2606.21406,https://arxiv.org/abs/2606.21406,/Users/luogu/physical_intelligence/papers/rl/HumanVid-SelfImprove_2606.21406.pdf,/Users/luogu/physical_intelligence/notes/rl/humanvid-selfimprove.md,Human-video dynamics as embodiment-agnostic prior to evaluate/correct robot attempts; connects world-model to self-improvement.,done
lego-rl,LEGO-RL: Harness-Native Reinforcement Learning for Coding Agents,2026,harness-native RL,high,2608.17393,https://arxiv.org/abs/2608.17393,/Users/luogu/physical_intelligence/papers/rl/LEGO-RL_2608.17393.pdf,/Users/luogu/physical_intelligence/notes/rl/lego-rl.md,Bridges native agent harnesses with policy-gradient training; crash/reward-hacking mitigation. Method core for harness-RL line.,done
coskill,CoSkill: Joint Reinforcement Learning of Reasoning and Meta-Skill Agents for Hierarchical Skill Evolution,2026,agentic skill RL,medium,2609.04865,https://arxiv.org/abs/2609.04865,/Users/luogu/physical_intelligence/papers/rl/CoSkill_2609.04865.pdf,/Users/luogu/physical_intelligence/notes/rl/coskill.md,Unified multi-agent RL where skills co-evolve with the reasoning agent instead of being managed objects.,done
multi-harness-rl,What Does Multi-Harness RL Learn? Credit Assignment and Portability in Coding Agents,2026,harness RL analysis,screen,2609.04518,https://arxiv.org/abs/2609.04518,,,"GRPO Within vs Cross harness ablation; coding agents only. Context for harness line, not standalone.",screen
vict,VICT: Verifier-Instrumented Credit Tracing for Long-Horizon LLM Agent Reinforcement Learning,2026,credit assignment,screen,2608.28128,https://arxiv.org/abs/2608.28128,,,"Verifier-internal structure for fine-grained credit; LLM agents, no robot experiments.",screen
push-t-agentic,"Revisiting the ""Push-T"" Robot Manipulation Task with Agentic Robotics",2026,agentic case study,screen,2608.18227,https://arxiv.org/abs/2608.18227,,,"Short paper: Claude Code writes algorithmic Push-T policy vs imitation. Fun case study, limited depth.",screen
sime,SIME: Enhancing Policy Self-Improvement with Modal-level Exploration,2025,self-improvement,screen,2505.01396,https://arxiv.org/abs/2505.01396,,,"Modal-level exploration for policy self-improvement; 2025, pre-agentic line.",screen
sas-prompt,SAS-Prompt: Large Language Models as Numerical Optimizers for Robot Self-Improvement,2025,LLM policy search,screen,2504.20459,https://arxiv.org/abs/2504.20459,,,LLM as stochastic numerical optimizer over robot traces; explainable but niche.,screen
spatial-memory-agent,Spatial Memory Agent: Experience-Grounded Procedure Memory for Spatial Intelligence,2026,spatial memory,screen,2608.12743,https://arxiv.org/abs/2608.12743,,,Frozen VLM + procedure memory for spatial reasoning; candidate for memory track later.,screen
